Designator	Part	Midx	Midy	Refx	Refy	Padx	Pady	TB	Rotation
U1	dip16	1.900	0.950	1.550	0.800	1.550	0.800	Top	0.0
U10	r3	4.081	1.506	3.975	1.400	4.187	1.612	Top	45.0
U10_1	r3	3.900	1.550	3.900	1.700	3.900	1.400	Top	-90.0
U10_1_1	r3	4.189	0.845	4.228	0.990	4.150	0.700	Top	-105.0
U10_2	r3	4.106	1.306	4.212	1.412	4.000	1.200	Top	-135.0
U10_2_1	r3	4.173	1.186	4.050	1.100	4.296	1.272	Top	35.0
U10_2_2_1	r3	3.100	1.400	3.100	1.250	3.100	1.550	Top	90.0
U10_2_2_1_2	r3	3.451	1.391	3.400	1.250	3.503	1.532	Top	70.0
U10_2_2_1_2_1_1	r3	3.951	0.591	3.900	0.450	4.003	0.732	Top	70.0
U10_2_2_1_2_1_1_1	r3	3.550	0.700	3.400	0.700	3.700	0.700	Top	0.0
U10_2_2_1_2_1_1_2	r3	4.123	0.314	4.000	0.400	4.246	0.228	Top	-35.0
U10_2_2_1_2_2	r3	2.787	1.386	2.850	1.250	2.723	1.522	Top	115.0
U10_2_2_1_2_2_1	r3	2.186	0.577	2.100	0.700	2.272	0.454	Top	-55.0
U10_2_2_1_2_2_1_1	r3	1.501	1.409	1.450	1.550	1.553	1.268	Top	-70.0
U10_2_2_1_2_2_1_2	r3	0.650	0.600	0.500	0.600	0.800	0.600	Top	0.0
U10_2_2_1_2_2_1_3	r3	2.439	0.245	2.400	0.100	2.478	0.390	Top	75.0
U10_2_2_1_2_2_2	r3	2.799	0.591	2.850	0.450	2.747	0.732	Top	110.0
U10_2_2_1_2_2_2_1	r3	1.601	0.541	1.550	0.400	1.653	0.682	Top	70.0
U10_2_2_1_2_2_2_1_1	r3	1.784	0.546	1.750	0.400	1.817	0.692	Top	77.0
U10_2_2_1_2_2_2_1_2	r3	1.963	0.549	1.950	0.400	1.976	0.699	Top	85.0
U10_2_2_1_2_2_2_1_2_1	r3	2.400	0.750	2.400	0.600	2.400	0.900	Top	90.0
U10_2_2_1_2_2_2_1_2_1_1	r3	1.300	1.050	1.300	0.900	1.300	1.200	Top	90.0
U10_2_2_1_2_2_2_1_2_1_1_1	r3	1.400	1.100	1.400	0.950	1.400	1.250	Top	90.0
U10_2_2_1_2_2_2_1_2_1_1_1_1	r3	0.314	0.577	0.228	0.454	0.400	0.700	Top	55.0
U10_2_2_1_2_2_2_1_2_1_1_1_1_1	r3	1.000	1.350	1.000	1.200	1.000	1.500	Top	90.0
U10_2_2_1_2_2_2_1_2_1_1_1_1_1_1	r3	0.664	1.573	0.750	1.450	0.578	1.696	Top	125.0
U10_2_2_1_2_2_2_1_2_1_1_1_1_1_1_1	r3	0.450	1.250	0.300	1.250	0.600	1.250	Top	0.0
U10_2_2_1_2_2_2_1_2_1_1_1_1_1_1_1_1	r3	0.194	0.794	0.088	0.688	0.300	0.900	Top	45.0
U10_2_2_1_2_2_2_1_2_2	r3	2.188	0.279	2.276	0.157	2.100	0.400	Top	126.0
U10_2_2_1_2_2_2_1_3	r3	2.049	1.391	2.100	1.250	1.997	1.532	Top	110.0
U10_2_2_1_2_2_2_1_4	r3	1.725	1.330	1.800	1.200	1.650	1.460	Top	120.0
U10_2_2_1_2_2_2_1_5	r3	1.887	1.386	1.950	1.250	1.823	1.522	Top	115.0
U10_2_2_1_2_2_2_2	r3	0.963	0.464	1.027	0.328	0.900	0.600	Top	115.0
U10_2_2_1_2_2_2_2_1	r3	0.394	1.506	0.288	1.612	0.500	1.400	Top	-45.0
U10_2_2_1_2_2_2_2_1_1	r3	0.173	1.114	0.050	1.200	0.296	1.028	Top	-35.0
U10_2_2_1_2_2_3	r3	2.411	1.195	2.372	1.340	2.450	1.050	Top	-75.0
U10_2_2_1_2_2_3_1	r3	2.511	1.245	2.472	1.390	2.550	1.100	Top	-75.0
U10_2_2_1_2_2_3_1_1	r3	1.220	0.468	1.247	0.616	1.194	0.320	Top	-100.0
U10_2_2_1_2_2_4	r3	1.390	0.467	1.416	0.614	1.364	0.319	Top	-100.0
U10_2_2_1_2_3	r3	2.624	1.348	2.650	1.200	2.598	1.495	Top	100.0
U10_2_2_1_2_3_1	r3	2.876	0.848	2.850	0.700	2.902	0.995	Top	80.0
U10_2_2_1_2_3_1_1	r3	1.546	0.185	1.643	0.070	1.450	0.300	Top	130.0
U10_2_2_1_2_3_2	r3	2.550	0.800	2.550	0.950	2.550	0.650	Top	-90.0
U10_2_2_1_2_4	r3	3.263	1.336	3.200	1.200	3.327	1.472	Top	65.0
U10_2_2_1_2_4_1	r3	3.827	0.286	3.704	0.372	3.950	0.200	Top	-35.0
U10_2_2_1_2_5	r3	3.685	0.196	3.570	0.293	3.800	0.100	Top	-40.0
U10_2_2_1_2_5_1	r3	4.309	0.149	4.450	0.200	4.168	0.097	Top	-160.0
U10_2_3	r3	4.491	0.551	4.632	0.603	4.350	0.500	Top	-160.0
U10_3	r3	4.400	0.750	4.250	0.750	4.550	0.750	Top	0.0
U11	qnpn	4.450	1.150	4.450	1.150	4.450	1.150	Top	-135.0
U11_1	qnpn	4.200	0.500	4.200	0.500	4.200	0.500	Top	45.0
U11_2	qnpn	2.950	1.600	2.950	1.600	2.950	1.600	Top	45.0
U11_2_1	qnpn	3.600	1.650	3.600	1.650	3.600	1.650	Top	-25.0
U11_2_1_1	qnpn	3.600	0.450	3.600	0.450	3.600	0.450	Top	45.0
U11_2_1_2	qnpn	2.259	1.492	2.259	1.492	2.259	1.492	Top	155.0
U11_2_1_2_1	qnpn	1.200	0.800	1.200	0.800	1.200	0.800	Top	135.0
U11_2_2	qnpn	3.050	0.500	3.050	0.500	3.050	0.500	Top	45.0
U12	qpnp	4.450	1.450	4.450	1.450	4.450	1.450	Top	110.0
U12_1	qpnp	4.516	0.344	4.516	0.344	4.516	0.344	Top	110.0
U2	dip14	0.700	0.950	1.000	1.100	1.000	1.100	Top	180.0
U3	dip16	3.450	0.950	3.100	0.800	3.100	0.800	Top	0.0
U7	cel1	4.700	1.050	4.700	1.000	4.700	1.100	Top	90.0
c10	led	2.441	1.721	2.482	1.693	2.482	1.693	Top	145.0
t	led	1.247	0.133	1.294	0.116	1.294	0.116	Top	160.0
